,Tiempo remoto,Tiempo preferido
2019,30.305242203052423,43.105507631055076
2020-1,66.94094226940942,64.45255474452554
2020-2,55.01322751322751,57.92989417989418
2021-1,49.689153439153436,55.55555555555556
Postcovid,52.00396825396825,52.00396825396825
